Date,Market,Chain,Product,Return,Sum
2023-01-21,Эфэс,Эфэс 13 бөх.өргөө,316800.0,28800.0,345600.0
2023-01-23,Эфэс,Эфэс Алтай хотхон,345600.0,14400.0,360000.0
2023-01-26,Эфэс,Эфэс 13 бөх.өргөө,484320.0,43200.0,527520.0
2023-01-27,Эфэс,Эфэс зайсан,489600.0,72000.0,561600.0
2023-01-27,Эфэс,Эфэс Морьтон,460800.0,14400.0,475200.0
2023-02-01,Эфэс,Эфэс Морьтон,288000.0,,
2023-02-02,,,417600.0,,
2023-02-03,Эфэс,Эфэс зайсан,489600.0,,
2023-02-04,Эфэс,Эфэс Алтай хотхон,527600.0,,
2023-02-08,Эфэс,Эфэс зайсан,604800.0,14400.0,619200.0
2023-02-08,Эфэс,Эфэс Морьтон,446400.0,,
2023-02-10,,,475200.0,,
2023-02-15,Эфэс,Эфэс зайсан,374400.0,,
2023-02-15,Эфэс,Эфэс Морьтон,561600.0,43200.0,604800.0
2023-02-16,Эфэс,Эфэс 13,388800.0,,
2023-02-17,Эфэс,Эфэс Алтай хотхон,489600.0,144000.0,633600.0
2023-02-19,Эфэс,Эфэс Морьтон,316800.0,,
2023-03-02,Эфэс,Эфэс Морьтон,417600.0,0.0,417600.0
2023-03-03,Эфэс,Эфэс зайсан,518400.0,28800.0,547200.0
2023-03-04,Эфэс,Эфэс 13,489600.0,100800.0,590400.0
2023-03-10,Эфэс,Эфэс Морьтон,604800.0,28800.0,633600.0
2023-03-10,Эфэс,Эфэс зайсан,,57600.0,
2023-03-11,Эфэс,Эфэс зайсан,547200.0,,
2023-03-11,Эфэс,Эфэс Алтай хотхон,187200.0,,
2023-03-16,Эфэс,Эфэс Морьтон,388800.0,,
2023-03-18,Эфэс,Эфэс зайсан,388800.0,57600.0,446400.0
2023-03-18,Эфэс,Эфэс 13 бөх.өргөө,,57600.0,
2023-03-20,Эфэс,Эфэс 13,518400.0,115200.0,633600.0
2023-03-22,Эфэс,Эфэс Морьтон,460800.0,,
2023-03-22,Эфэс,Эфэс зайсан,467202.0,28800.0,496002.0
2023-03-25,Эфэс,Эфэс Алтай хотхон,662400.0,57600.0,720000.0
2023-03-27,Эфэс,Эфэс 13 бөх.өргөө,835200.0,57600.0,892800.0
2023-03-30,Эфэс,Эфэс Морьтон,489600.0,28800.0,518400.0
2023-03-31,Эфэс,Эфэс зайсан,417600.0,57600.0,475200.0
2023-04-06,Эфэс,Эфэс 13 бөх.өргөө,720000.0,28800.0,748800.0
2023-04-07,Эфэс,Эфэс зайсан,720000.0,57600.0,777600.0
2023-04-07,Эфэс,Эфэс Морьтон,244800.0,,
2023-04-10,Эфэс,Эфэс Алтай хотхон,302400.0,,
2023-04-14,Эфэс,Эфэс зайсан,345600.0,,
2023-04-14,Эфэс,Эфэс Морьтон,172800.0,,
2023-04-19,Эфэс,Эфэс Алтай хотхон,576000.0,28800.0,604800.0
2023-04-20,Эфэс,Эфэс зайсан,576000.0,86400.0,662400.0
2023-04-20,Эфэс,Эфэс 13 бөх.өргөө,835200.0,14400.0,849600.0
2023-04-21,Эфэс,Эфэс Морьтон,604800.0,,
2023-04-27,Эфэс,Эфэс зайсан,403200.0,57600.0,460800.0
2023-04-27,Эфэс,Эфэс 13 бөх.өргөө,331200.0,57600.0,388800.0
2023-04-28,Эфэс,Эфэс Алтай хотхон,374400.0,,
2023-04-28,Эфэс,Эфэс Морьтон,259200.0,,
2023-01-04,Цэлмүүн,Цэлмүүн түшээ,619200.0,94240.0,713440.0
2023-01-09,Цэлмүүн,Цэлмүүн түшээ,705600.0,,
2023-01-13,Цэлмүүн,Цэлмүүн түшээ,115200.0,28800.0,144000.0
2023-01-18,Цэлмүүн,Цэлмүүн түшээ,528800.0,,
2023-01-21,Цэлмүүн,Цэлмүүн түшээ,201600.0,,
2023-01-27,Цэлмүүн,Цэлмүүн түшээ,576000.0,,
2023-02-03,Цэлмүүн,Цэлмүүн түшээ,369120.0,14400.0,383520.0
2023-02-08,Цэлмүүн,Цэлмүүн түшээ,230400.0,14400.0,244800.0
2023-02-11,Цэлмүүн,Цэлмүүн түшээ,374400.0,14400.0,388800.0
2023-02-20,Цэлмүүн,Цэлмүүн түшээ,460800.0,,
2023-03-02,Цэлмүүн,Цэлмүүн түшээ,244800.0,14400.0,259200.0
2023-03-08,Цэлмүүн,Цэлмүүн түшээ,154400.0,,
2023-03-16,Цэлмүүн,Цэлмүүн түшээ,561600.0,,
2023-03-22,Цэлмүүн,Цэлмүүн түшээ,244800.0,,
2023-03-27,Цэлмүүн,Цэлмүүн түшээ,485600.0,,
2023-04-03,Цэлмүүн,Цэлмүүн түшээ,417600.0,,
2023-04-10,Цэлмүүн,Цэлмүүн түшээ,273600.0,,
2023-04-19,Цэлмүүн,Цэлмүүн түшээ,492160.0,14400.0,506560.0
2023-04-24,Цэлмүүн,Цэлмүүн түшээ,547200.0,,
2023-04-24,Wellmart,Wellmart Модны-2,201600.0,,
2023-01-11,Wellmart,Wellmart 5шар,273600.0,72000.0,345600.0
2023-01-12,Wellmart,Wellmart оффицер,216000.0,,
